Tag,Name,Town Hall Level,Donations
#2PLQ9U9GU,tony,12,1582
#LY2YLG9C,ravenhammer,12,451
#VQ8RU22L,Marked_Of_Death,12,206
#L29RCJ89,Skeggi,11,389
#22L080RYC,Sumeron,11,720
#28ULYGPCR,e1rohir,10,476
#Y8YRU0U,thecorn67,10,1122
#29Y902UV8,Lindayen,11,1001
#209V0PG8J,Tiddley,10,15
#RUV0JQU0,jonginator,11,50
#2GPPLUVUC,Patricules,10,178
#YJY8U9JR,Raindrops,10,84
#29GY999VY,ct384,9,35
#GJP0C2LR,Reckless,9,79
#2PG2RLPYG,jack,9,141
#2QVG2Q920,Psychoburner,9,214
#9P2QG0GY,ItsBamf,10,42
#9P9JUPCJ,IronThRASHer28,10,0
#29GRG2C20,Slade,12,108
#89UYG8JV9,James Rhee,9,272
#Q9VYJQJQ,kasra,10,124
#CPQC9Q9L,Mr.McGiblets,11,0
#29LL09CPP,Czar Ballzdeep,9,977
#9V0CU08C,Kazba,10,633
#RUCULLLR,OG,11,1868
#J8J888UJ,zainths,9,853
#8VVQ0L0,Sweebah,10,0
#JPVUJQJJ,QWERTY,9,52
#PGPVJV8Y0,COOL DUDE jr,9,26
#2R2L8LP9,Gandalf,10,195
#8C989YRJ,Frost,9,63
#YG0PC0JPU,jwalter,8,2
#2YPUJ8R88,Mel,11,1367
#2QVRUQC98,SkyLord,8,0
#2Q2GLVYV2,Buy Spins,9,0
#JRYU88U,uts,10,420
#Y9LJUGGVC,KazbaJr,8,30
#QV92JJV8,thelonelyisland,9,0
#8GL892JG0,Gandallf,9,0
#PQJL9GJY9,Nolanrush,8,0
#PPGULP2VL,Gandalllf,8,0
